District Name,County Name (District),District Type (District),All Charter Schools (Y/N) (District),Grade Span (District),Zip (District),City (District),Census Day Enrollment (District),English Learners % (District),American Indian or Alaska Native % (District),Asian % (District),Black or African American % (District),Filipino % (District),Hispanic or Latino % (District),Native Hawaiian or Pac Islander % (District),Two or More Races % (District),None Reported % (District),White % (District),Free/Reduced Meals % (District),Fluent English Proficient (FEP) % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Cohort Grads by Socio. Econ. DisAdvtg % (District),Student/Teacher Ratio (District),1st Year Teachers (District),Experienced Teachers (District),Teacher Service Days (District),Teaching Days (District),Inexperienced Teachers (District),Avg Years Teaching (District),Suspension Rate (District),Chronic Absenteeism % (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District),Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District),Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District),Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District),Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District)
Bonita Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,91773,"""San Dimas                     """,9944,5.1,0,9.7,2.2,2.8,56.3,0.1,5.9,3.1,19.9,33.6,12.09,44,97.1,95.6,21.5,7,462,184,180,16,15,2.1,11.6,63.34,73.5,17012,0,2,58,10,6,13,9
Bonny Doon Union Elementary (Santa Cruz),Santa Cruz,Elementary School District,No,K-06,95060,"""Santa Cruz                    """,92,3.3,0,1.1,3.3,0,14.1,0,10.9,0,70.7,22.8,2.17,32,N/A,N/A,10.2,0,10,185,180,0,13,0,28.6,52.17,56.52,32980,0,0,59,8,9,16,8
Bonsall Unified (San Diego),San Diego,Unified School District,No,K-12,92003,"""Bonsall                       """,2281,8.9,4.8,1.8,1.1,2.7,39.6,0.4,8.9,2.1,38.7,50.3,10.7,51,89.1,91.7,21.4,9,88,N/A,N/A,20,11,2.8,14.8,40.25,52.62,18214,0,1,58,12,8,10,11
Borrego Springs Unified (San Diego),San Diego,Unified School District,No,K-12,92004,"""Borrego Springs               """,3066,22.6,0.5,0.9,5.6,0.4,70.5,0.2,4.6,1.4,15.8,77.8,27.56,31,25.1,24.2,23.5,16,121,N/A,N/A,18,11,0.3,56.5,16.39,30.94,29167,0,0,44,8,8,7,31
Bradley Union Elementary (Monterey),Monterey,Elementary School District,No,K-08,93426,"""Bradley                       """,54,11.1,0,0,0,0,33.3,0,3.7,1.9,61.1,31.5,12.96,34,N/A,N/A,18,0,2,N/A,N/A,1,16,5.3,17.5,21.05,39.47,28217,0,0,45,10,16,13,16
Brawley Elementary (Imperial),Imperial,Elementary School District,No,K-08,92227,"""Brawley                       """,3883,35,0,0.1,0.7,0.4,95.1,0.1,0.2,0.3,3.2,84.6,13.01,5,N/A,N/A,19.5,11,173,187,180,28,15,5.2,27.6,24.7,38.97,20819,0,0,59,7,6,8,20
Brawley Union High (Imperial),Imperial,High School District,No,09-12,92227,"""Brawley                       """,2047,22.3,0.1,0.5,0.7,0.3,94,0,0.3,1,3,71.6,33.02,6,93.7,92.9,22.9,10,81,187,180,10,15,8.1,26.1,24.35,56.16,20316,0,3,55,14,5,6,14
Brea-Olinda Unified (Orange),Orange,Unified School District,No,K-12,92821,"""Brea                          """,5753,8.8,0.1,27.7,1.2,3.7,40,0.4,5.5,0.8,20.6,38.7,16.34,57,93.8,93.3,22.1,11,238,185,180,21,14,1.7,10.5,60.83,66.95,16704,0,1,60,14,6,9,9
Brentwood Union (Contra Costa),Contra Costa,Elementary School District,No,K-08,94513,"""Brentwood                     """,10049,8.7,0.4,13.4,8.3,6.4,33,0.5,7.6,3.4,27,40.8,10.32,65,N/A,N/A,21.9,17,421,184,180,40,16,3.5,14,45.18,56.61,15379,0,0,73,6,4,9,8
Bret Harte Union High (Calaveras),Calaveras,High School District,No,09-12,95221,"""Angels Camp                   """,605,3.8,1.3,0.3,0.3,0,25.1,0,7.4,0.8,64.6,42.5,7.44,35,95.5,93.8,17.1,1,37,185,180,1,16,8.5,20.3,20,64,29155,0,1,48,16,9,8,15
Bridgeville Elementary (Humboldt),Humboldt,Elementary School District,No,K-07,95526,"""Bridgeville                   """,39,N/A,0,0,0,0,23.1,0,12.8,0,64.1,59,2.56,36,N/A,N/A,12.2,0,4,N/A,N/A,0,10,0,21.4,12.5,16.67,34971,0,0,56,12,9,8,10
Briggs Elementary (Ventura),Ventura,Elementary School District,No,K-08,93036,"""Santa Paula                   """,457,27.1,0.7,0.4,0,0.2,94.5,0,0,0,4.2,64.3,25.16,6,N/A,N/A,17.3,2,25,186,180,3,10,2.5,13.1,26.79,33.86,20212,0,9,50,8,8,12,9
Brisbane Elementary (San Mateo),San Mateo,Elementary School District,No,K-08,94005,"""Brisbane                      """,484,12.6,0,23.8,1.4,10.3,30.8,0,12.8,0.8,20,21.9,17.15,67,N/A,N/A,15.9,1,30,185,180,3,17,1.4,10.9,62.5,60.73,28657,0,0,62,6,11,12,8
Brittan Elementary (Sutter),Sutter,Elementary School District,No,K-08,95982,"""Sutter                        """,539,2,0,0.9,0,0,25.2,0,7.6,0,66.2,34.7,1.67,34,N/A,N/A,20.7,3,19,183,180,8,8,4.1,18.3,29.45,30.06,12096,0,0,57,4,7,12,11
Buckeye Union Elementary (El Dorado),El Dorado,Elementary School District,No,K-12,95762,"""El Dorado Hills               """,10761,4.2,0.3,6.1,1.1,0.9,16.2,0.1,7.6,2.5,65.2,29.4,7.92,36,96.1,95.1,23.2,4,507,185,180,18,15,0.9,2.9,66.6,71.98,14962,0,0,61,8,8,8,11
Buellton Union Elementary (Santa Barbara),Santa Barbara,Elementary School District,No,K-08,93427,"""Buellton                      """,545,15.2,0.2,1.7,0.9,0,51.9,0,2.9,4.6,37.8,56.3,9.17,39,N/A,N/A,20.6,2,24,N/A,N/A,3,14,2.1,16.6,47.92,55.45,31242,0,0,50,18,4,14,6
Buena Park Elementary (Orange),Orange,Elementary School District,No,K-08,90620,"""Buena Park                    """,3685,27.7,0.2,18,3.1,4.3,65.5,0.5,2.7,1.1,4.6,80.3,16.64,37,N/A,N/A,20.7,7,164,185,180,15,19,1.5,16.4,36.34,42.67,22750,0,6,57,8,8,8,9
Buena Vista Elementary (Tulare),Tulare,Elementary School District,No,K-08,93274,"""Tulare                        """,180,11.1,0,0,0,0,72.8,0,1.7,0,25.6,52.2,7.78,27,N/A,N/A,16.4,1,9,184,180,2,16,1.1,17.6,34.21,48.25,18595,0,0,67,6,12,7,7
Burbank Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,91506,"""Burbank                       """,14168,12.6,0.2,4.9,1.8,2.9,31,0.1,6,4,49.2,32.7,21.57,47,97.4,97.5,24.2,18,536,187,180,51,15,2.5,14.4,46.56,58.02,16445,0,1,62,9,7,10,10
Burlingame Elementary (San Mateo),San Mateo,Elementary School District,No,K-08,94010,"""Burlingame                    """,3380,14.1,0.1,28.9,0.4,2.7,18.8,0.3,9.9,7,32,21.8,18.02,60,N/A,N/A,22.3,6,148,N/A,N/A,10,14,0.7,8.3,70.9,73.32,15970,0,0,69,4,9,9,8
Burnt Ranch Elementary (Trinity),Trinity,Elementary School District,No,K-08,95527,"""Burnt Ranch                   """,85,N/A,14.1,1.2,2.4,0,12.9,0,16.5,1.2,51.8,75.3,1.18,50,N/A,N/A,17,0,5,185,180,0,17,1.1,0,64.15,73.58,25498,0,3,57,8,9,11,9
Burrel Union Elementary (Fresno),Fresno,Elementary School District,No,K-08,93656,"""Riverdale                     """,94,50,0,1.1,0,0,95.7,0,0,0,3.2,85.1,22.34,5,N/A,N/A,10.4,2,5,N/A,N/A,4,4,0,12.6,23.44,21.54,27415,0,0,51,12,10,9,14
Burton Elementary (Tulare),Tulare,Elementary School District,No,K-12,93257,"""Porterville                   """,4805,14.9,0.9,1.6,0.3,1.7,79.2,0.1,1.5,3.9,10.7,79.2,13.38,19,100,100,21.4,12,201,186,180,26,11,3.2,8.9,31.8,44.55,19675,0,1,54,9,5,15,15
Butte County Office of Education (Butte),Butte,County Office of Education (COE),No,K-12,95965,"""Oroville                      """,1290,1.4,1.5,0.9,1.5,0.2,19.8,0.2,9.4,0.8,66,61.5,2.64,35,73.3,68.6,13.6,5,90,183,183,10,15,2.7,17.8,10.95,18.38,N/A,0,51,12,8,9,14,4
Butte Valley Unified (Siskiyou),Siskiyou,Unified School District,No,K-12,96023,"""Dorris                        """,313,23.6,1.6,4.2,0,0.3,58.5,0,1.3,0,34.2,83.7,21.09,38,100,100,20.4,3,15,185,180,4,13,5.9,23.1,10.14,16.78,20134,0,1,60,5,11,10,12
Butteville Union Elementary (Siskiyou),Siskiyou,Elementary School District,No,K-08,96094,"""Weed                          """,162,0.6,0,0,0,1.2,19.1,0,4.9,0,74.7,43.2,1.85,27,N/A,N/A,17.5,1,9,N/A,N/A,1,17,1.1,18.9,45.1,54.9,15406,4,2,50,8,11,13,9
Buttonwillow Union Elementary (Kern),Kern,Elementary School District,No,K-08,93206,"""Buttonwillow                  """,288,52.8,0.3,0,1.4,0,93.8,0,0,0,4.5,90.6,13.89,7,N/A,N/A,11.3,2,20,183,180,6,8,1.7,21.1,18.23,25.56,30554,0,0,58,14,7,4,15
Byron Union Elementary (Contra Costa),Contra Costa,Elementary School District,No,K-12,94514,"""Byron                         """,2182,5.3,0.8,6.1,4,0.9,33.3,0.9,9.6,1.1,43.3,33.1,5.27,53,93.4,89.3,20.9,6,106,N/A,N/A,6,16,2.6,12.8,43.69,51.86,20020,0,0,58,11,8,11,12
Cabrillo Unified (San Mateo),San Mateo,Unified School District,No,K-12,94019,"""Half Moon Bay                 """,2562,15.2,0,1.5,0.2,0.7,50.9,0,5.4,0.3,40.9,26.9,23.15,41,92.2,88.8,20.8,18,97,185,180,27,14,2.4,15.7,33.22,41.37,22483,0,2,54,9,10,15,9
Cajon Valley Union (San Diego),San Diego,Elementary School District,No,K-12,92020,"""El Cajon                      """,18527,34.5,0.3,8.3,5.7,0.2,37.4,0.8,2.3,4.1,40.8,82.8,12.16,50,91.5,90.9,21.5,114,687,186,180,206,11,4.5,24.9,22.62,31.67,20752,0,0,61,11,6,13,9
Calaveras County Office of Education (Calaveras),Calaveras,County Office of Education (COE),No,K-12,95222,"""Angels Camp                   """,463,0.9,1.9,0.2,0.6,0.4,19.9,0,6.9,0,70,53.8,1.3,32,90.4,83.9,19.7,2,22,183,180,5,14,2.4,7.5,20.85,32.77,N/A,0,2,37,19,18,17,3
Calaveras Unified (Calaveras),Calaveras,Unified School District,No,K-12,95249,"""San Andreas                   """,2858,4,1.3,0.5,0.5,0.3,26.4,0.2,7.5,0.4,62.8,54.9,4.16,37,93.2,93.3,23.3,3,108,N/A,N/A,17,14,9.5,33.8,18.48,25.04,15672,0,1,58,10,8,9,11
Calexico Unified (Imperial),Imperial,Unified School District,No,K-12,92231,"""Calexico                      """,8022,56,0,0.2,0.1,0,99.2,0,0,0.1,0.4,88.1,31.49,1,92.4,92.5,22,12,340,185,180,27,17,1.7,36.3,18.91,29.98,23614,0,3,50,10,6,9,21
Caliente Union Elementary (Kern),Kern,Elementary School District,No,K-08,93518,"""Caliente                      """,44,2.3,6.8,0,0,0,31.8,0,0,2.3,59.1,84.1,0,37,N/A,N/A,11,3,1,N/A,N/A,3,4,0,27.3,25.93,40.74,33868,0,0,46,8,16,9,20
Calipatria Unified (Imperial),Imperial,Unified School District,No,K-12,92233,"""Calipatria                    """,1080,27.1,0.1,0.1,2.3,0.4,90.7,0,1,0,5.4,89,15,10,93.8,92.9,16.2,2,54,186,180,13,15,5,21.2,23.04,38.42,23626,0,1,56,13,6,6,17
Calistoga Joint Unified (Napa),Napa,Unified School District,No,K-12,94515,"""Calistoga                     """,768,26.4,0,0.4,0.5,0.5,87.5,0.1,0.5,2.1,8.3,85.9,51.56,12,95.4,96.7,13.8,0,56,186,180,1,15,3.2,16.9,30.41,43.46,35454,0,2,60,8,8,12,10
Cambrian (Santa Clara),Santa Clara,Elementary School District,No,K-08,95124,"""San Jose                      """,3120,13.1,0.1,22.3,2,2.3,29.4,0.4,12.5,0.6,30.4,16.6,15.96,62,N/A,N/A,20.5,19,125,N/A,N/A,29,15,1.9,7.9,63.64,68.38,18819,0,0,63,7,7,11,8
Camino Union Elementary (El Dorado),El Dorado,Elementary School District,No,K-08,95709,"""Camino                        """,406,13.3,2.2,0.2,0.5,0.7,24.4,0.5,1,0.5,70,56.7,4.68,30,N/A,N/A,17.1,1,23,183,183,3,12,6.1,10.5,37.87,51.91,18266,0,0,61,8,8,8,11
Campbell Union (Santa Clara),Santa Clara,Elementary School District,No,K-08,95008,"""Campbell                      """,6120,29,0.2,16.9,3.4,1.8,48.2,0.4,7.7,0.9,20.4,39.4,17.58,53,N/A,N/A,22,13,265,185,180,15,13,2.9,11.2,46.22,51.4,22041,0,0,62,7,6,14,9
Campbell Union High (Santa Clara),Santa Clara,High School District,No,09-12,95124,"""San Jose                      """,8514,8.6,0.3,21.4,2.4,1.9,37.6,0.2,7,1.3,27.9,40.2,41.05,58,94.4,91.7,21.5,2,427,183,180,14,13,2.1,13.3,47.92,65.93,21504,1,2,59,12,6,8,11
Camptonville Elementary (Yuba),Yuba,Elementary School District,No,K-12,95922,"""Camptonville                  """,602,1.2,2.2,1.8,2.7,0,6.6,0.3,11.6,1.7,73.1,54.2,3.16,28,16.7,17.4,19.3,5,32,182,180,5,11,1.2,5,55.17,58.62,23908,0,0,58,4,7,21,10
Canyon Elementary (Contra Costa),Contra Costa,Elementary School District,No,K-08,94516,"""Canyon                        """,68,1.5,0,0,0,0,19.1,0,14.7,0,66.2,20.6,0,35,N/A,N/A,30.9,0,2,186,180,1,3,0,17.4,51.22,53.66,20308,0,0,48,9,12,23,4
Capay Joint Union Elementary (Glenn),Glenn,Elementary School District,No,K-08,95963,"""Orland                        """,211,12.8,0,0,0,0,43.6,0,0,0.5,55.9,41.2,10.43,34,N/A,N/A,21.1,5,5,183,180,5,8,4.2,12.1,33.04,31.9,15505,0,0,61,7,4,10,7
Capistrano Unified (Orange),Orange,Unified School District,No,K-12,92675,"""San Juan Capistrano           """,46660,8.1,0.2,7.2,1.6,1.6,27.6,0.1,8.3,4.1,49.4,36,14.83,48,91.3,89.2,21.6,67,2153,185,180,167,15,1.6,14.7,62.67,71.99,17166,0,1,63,10,5,10,9
Cardiff Elementary (San Diego),San Diego,Elementary School District,No,K-06,92007,"""Cardiff-by-the-Sea            """,641,4.8,0.2,2,0.3,0.5,14,0.2,9.8,7.8,65.2,11.1,4.68,32,N/A,N/A,16.2,3,38,185,180,3,21,0,6.4,68.78,77.51,22223,0,0,65,4,9,9,9
Carlsbad Unified (San Diego),San Diego,Unified School District,No,K-12,92009,"""Carlsbad                      """,10708,4.5,0.2,5.3,1.3,0.9,26.1,0.2,10.3,0,55.9,30.1,9.82,45,97.6,96.2,22.7,14,455,185,180,34,15,1.8,14.5,61.59,70.82,17482,0,1,61,10,6,10,10
Carmel Unified (Monterey),Monterey,Unified School District,No,K-12,93923,"""Carmel                        """,2157,3,0.1,4.1,0.4,0.2,20.6,0.1,10,2.5,62,18.1,9.55,38,97.7,93.4,13.8,0,159,186,180,5,18,1.6,14.5,65.77,73.21,39895,0,1,56,10,8,13,11
Carpinteria Unified (Santa Barbara),Santa Barbara,Unified School District,No,K-12,93013,"""Carpinteria                   """,1924,15.9,0.2,0.9,0.5,0.1,72.1,0,2,0,24.3,66.4,31.24,28,92.8,91.7,17.7,7,95,184,180,14,13,7,19.7,38.39,47.54,22506,0,5,50,13,10,10,10
Caruthers Unified (Fresno),Fresno,Unified School District,No,K-12,93609,"""Caruthers                     """,1689,25.2,0.7,2.5,0.4,0.2,87.6,0.1,0.3,0,8.3,89,36.35,14,95.5,95.2,18.9,11,71,183,180,20,11,3.4,13.5,32.73,47.23,20502,0,2,48,9,8,11,17
Cascade Union Elementary (Shasta),Shasta,Elementary School District,No,K-08,96007,"""Anderson                      """,1416,10.1,3.7,3.8,1.1,0.3,33.2,0.9,8,1.4,47.6,65.4,6,49,N/A,N/A,18,17,55,184,180,25,9,11.6,20.7,24.48,34.03,23440,0,1,55,15,8,9,13
Castaic Union (Los Angeles),Los Angeles,Elementary School District,No,K-08,91355,"""Valencia                      """,1914,7.8,0,1.8,1.8,3.3,51.2,0.1,6.1,1.2,34.5,50.2,7,44,N/A,N/A,21.2,1,89,186,180,4,15,0.4,13.1,45.99,56.9,17018,0,0,63,6,10,10,10
Castle Rock Union Elementary (Shasta),Shasta,Elementary School District,No,K-08,96017,"""Castella                      """,42,N/A,9.5,0,0,0,21.4,0,2.4,0,66.7,73.8,N/A,35,N/A,N/A,10.5,0,1,N/A,N/A,3,4,0,39.5,14.29,28.57,41401,0,0,40,28,8,14,8
Castro Valley Unified (Alameda),Alameda,Unified School District,No,K-12,94546,"""Castro Valley                 """,9570,12,0.1,34,4,4.3,24.5,0.4,10.5,3.6,18.6,38.7,23.5,63,96,93.2,21.3,22,431,185,180,37,15,2,12.2,58.98,66.95,17052,0,1,57,11,6,13,11
Cayucos Elementary (San Luis Obispo),San Luis Obispo,Elementary School District,No,K-08,93430,"""Cayucos                       """,185,3.8,0,0,0.5,0,27.6,0,4.9,4.3,62.7,23.2,3.78,33,N/A,N/A,12.2,0,16,186,180,1,16,1.5,7.3,55.65,68.29,28627,0,1,55,14,15,5,8
Center Joint Unified (Sacramento),Sacramento,Unified School District,No,K-12,95843,"""Antelope                      """,4614,17.1,0.7,12.9,12.1,3.5,30.1,1,6.8,0,32.8,58.1,15.76,64,92.7,93,19.5,23,188,185,180,52,13,5.3,23.3,25.68,37.85,20154,0,1,60,12,6,8,11
Centinela Valley Union High (Los Angeles),Los Angeles,High School District,No,09-12,90260,"""Lawndale                      """,6324,14.3,0.2,2.2,15.5,0.8,75.7,1,2.4,0.2,1.9,69.1,34.96,26,58.5,69.9,21.9,6,290,184,182,13,16,1.1,41.2,15.76,48.19,21795,0,2,52,10,10,11,13
Central Elementary (San Bernardino),San Bernardino,Elementary School District,No,K-08,91730,"""Rancho Cucamonga              """,4320,12.6,0.1,8,11.9,1.5,57.5,0.3,5.2,1.6,13.9,70.4,9.42,45,N/A,N/A,21.4,26,150,185,180,53,10,2,19.1,33.24,50.25,16326,0,0,57,10,7,9,8
Central Unified (Fresno),Fresno,Unified School District,No,K-12,93722,"""Fresno                        """,15962,13.1,0.5,17.8,7.1,0.6,61.2,0.2,2.1,0,10.4,78.9,17.73,42,90.8,91.2,23.1,9,675,185,180,26,14,3.4,22.5,30.02,44.28,19767,0,2,52,13,5,11,14
Central Union Elementary (Kings),Kings,Elementary School District,No,K-08,93245,"""Lemoore                       """,1508,9.7,4.6,1.4,7.4,3.2,44.3,0.7,10.6,0,27.8,38.3,4.24,56,N/A,N/A,18.9,0,81,183,180,1,16,3.6,3.4,43.73,53.11,22547,0,0,63,6,6,13,10
Central Union High (Imperial),Imperial,High School District,No,09-12,92243,"""El Centro                     """,4070,24.3,0,0.6,0.7,0.1,95.9,0,0.1,0.1,2.5,73.4,43.96,5,95.4,94.9,20.1,10,182,187,180,21,14,2.5,17.2,18,48.85,20691,0,1,56,9,7,10,15
Centralia Elementary (Orange),Orange,Elementary School District,No,K-06,90620,"""Buena Park                    """,3995,23.6,0.3,18.7,1.9,7.8,53,0.5,4.5,2.1,11.1,66.5,12.22,49,N/A,N/A,22.7,19,144,188,180,32,15,0.4,11.6,55.71,57.96,18048,0,0,55,11,6,13,11
Ceres Unified (Stanislaus),Stanislaus,Unified School District,No,K-12,95307,"""Ceres                         """,14047,30.2,0.3,5.7,1.2,0.3,81,0.4,1,0.3,9.7,84.7,24.3,21,92.8,92.5,23.2,28,544,187,180,67,12,3.8,16.2,23.37,39.23,20592,0,0,57,10,5,16,11
Chaffey Joint Union High (San Bernardino),San Bernardino,High School District,No,09-12,91762,"""Ontario                       """,22116,8,0.5,7.5,7.9,2.4,64.8,0.4,2.7,1.1,12.8,66.1,28.4,38,91.9,91.3,24.2,14,890,182,180,41,17,4.3,30.7,34.42,68.05,18946,0,1,60,10,5,11,11
Charter Oak Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,91724,"""Covina                        """,4314,7.9,0.5,4.5,2.5,2.9,75.1,0,2.9,0,11.6,72,10.36,28,95.5,95.6,20.4,10,196,184,180,21,17,2.7,20.6,38.45,51.06,20688,0,0,55,14,9,8,10
Chatom Union (Stanislaus),Stanislaus,Elementary School District,No,K-08,95380,"""Turlock                       """,558,37.6,0.4,0.5,0.2,0,67.6,0,2.2,0.4,28.9,74.2,10.93,31,N/A,N/A,22.3,1,25,N/A,N/A,1,16,2.2,3.9,34.77,41.74,17556,0,0,57,4,11,8,18
Chawanakee Unified (Madera),Madera,Unified School District,No,K-12,93645,"""O'Neals                       """,1409,1.2,6,2,0.7,0.5,27.8,0.1,10.1,0,52.9,52.4,1.77,47,96.8,95.4,19.6,7,57,185,180,18,12,3.1,18.1,27.95,45.55,18611,0,5,43,12,10,12,15
Chicago Park Elementary (Nevada),Nevada,Elementary School District,No,K-08,95945,"""Grass Valley                  """,163,N/A,1.2,0,0,0,21.5,0,6.1,0,71.2,43.6,N/A,30,N/A,N/A,15.7,2,10,N/A,N/A,4,11,2.3,15.9,47.31,63.04,17004,0,4,56,6,9,15,9
Chico Unified (Butte),Butte,Unified School District,No,K-12,95928,"""Chico                         """,14351,5.6,1,4.3,2.2,0.3,28.8,0.4,8,2.6,52.3,54.6,6.23,45,90,90.2,20.2,27,687,183,182,61,14,3.6,18,40.2,54.14,17653,0,1,61,12,6,9,10
Chino Valley Unified (San Bernardino),San Bernardino,Unified School District,No,K-12,91710,"""Chino                         """,26529,10.5,0.1,22.5,3.9,4.7,54.1,0.2,3.2,1.1,10.2,61.6,22.15,47,95.5,94.5,22.8,10,1119,183,180,86,13,2.4,15.4,49.79,62.12,17387,2,1,57,9,5,10,14
Chowchilla Elementary (Madera),Madera,Elementary School District,No,K-08,93610,"""Chowchilla                    """,2143,23.5,0.6,1.6,1.5,0.1,74.8,0,2,0,19.4,88.5,10.08,26,N/A,N/A,22,6,84,N/A,N/A,15,11,4.3,10.8,24.14,28.3,20223,0,0,50,10,5,10,20
Chowchilla Union High (Madera),Madera,High School District,No,09-12,93610,"""Chowchilla                    """,1093,14.8,1.1,2.2,1.7,0.4,69.6,0.2,1.4,0.2,23.2,81.8,31.02,31,93.4,92.7,21.2,2,47,183,180,6,15,5.8,21.9,12.5,49,19925,0,4,47,12,11,8,16
Chualar Union (Monterey),Monterey,Elementary School District,No,K-08,93925,"""Chualar                       """,234,70.9,0.4,0,0,0,98.7,0,0,0,0.9,83.8,15.38,1,N/A,N/A,16.1,1,14,185,180,1,10,1.9,15.5,29.22,46.1,25118,0,0,48,10,11,15,8
Chula Vista Elementary (San Diego),San Diego,Elementary School District,No,K-12,91910,"""Chula Vista                   """,28845,27.2,0.1,2.2,3.7,8.5,72.1,0.3,6,0.1,6.8,55,17.38,31,98.4,98.4,21.3,38,1249,185,180,103,15,1.2,12.1,45.94,56.38,18972,0,5,60,13,5,8,7
Cienega Union Elementary (San Benito),San Benito,Elementary School District,No,K-08,95023,"""Hollister                     """,21,9.5,0,0,0,0,33.3,0,4.8,0,61.9,52.4,4.76,35,N/A,N/A,11,0,2,185,180,0,9,0,9.5,23.53,47.06,20793,0,6,61,0,13,6,6
Cinnabar Elementary (Sonoma),Sonoma,Elementary School District,No,K-08,94952,"""Petaluma                      """,177,41.2,0.6,0,0.6,0,79.7,0.6,3.4,0,15.3,81.4,22.6,22,N/A,N/A,15.2,0,12,186,180,1,13,6.4,19.1,16.5,30.39,25070,0,0,63,13,6,13,5
Claremont Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,91711,"""Claremont                     """,6133,5.3,0.3,11.3,4.2,2.1,47,0.1,6.1,2.5,26.4,36.2,14.43,52,97.4,96.5,21.4,14,257,182,180,30,16,1.8,13,54.23,63.76,17396,0,1,56,15,8,9,9
Clay Joint Elementary (Fresno),Fresno,Elementary School District,No,K-08,93631,"""Kingsburg                     """,246,0.8,0,1.6,0.4,0.8,32.1,0.4,0.4,0,64.2,15.4,4.88,33,N/A,N/A,27.3,1,7,185,180,2,11,0,0,75.57,75,13837,0,0,62,4,6,16,12
Clear Creek Elementary (Nevada),Nevada,Elementary School District,No,K-08,95949,"""Grass Valley                  """,173,N/A,1.2,0,0.6,0,13.9,0,19.1,0,65.3,45.1,0.58,36,N/A,N/A,16.7,3,8,186,180,3,11,0,13,55.1,59.18,13774,0,0,55,5,10,11,7
Cloverdale Unified (Sonoma),Sonoma,Unified School District,No,K-12,95425,"""Cloverdale                    """,1303,27.1,2.5,0.8,0.5,0,61.9,0,3.4,1.9,29,57.6,22.72,36,97.1,98.9,18.9,3,62,186,180,9,12,4,21.9,16.83,28.05,19606,0,1,60,7,9,9,9
Clovis Unified (Fresno),Fresno,Unified School District,No,K-12,93611,"""Clovis                        """,43669,4.7,0.7,15.8,3.5,2.2,42,0.3,4.8,1.1,29.7,47,9.82,55,95.1,93.5,21.8,226,1689,186,180,316,14,3.9,15,54.09,67.82,16077,0,2,57,12,5,12,12
Coachella Valley Unified (Riverside),Riverside,Unified School District,No,K-12,92274,"""Thermal                       """,16052,40,0.3,0.1,0.2,0,97.8,0,0.1,0.4,1,92.8,32.23,2,89.9,89.5,19.8,28,782,184,180,35,16,3.3,36.1,20.1,30.08,25961,0,0,60,11,5,10,13
Coalinga-Huron Unified (Fresno),Fresno,Unified School District,No,K-12,93210,"""Coalinga                      """,4418,35.2,0.1,1.3,1.2,0.3,87,0.1,0.8,1,8.3,80.1,18.99,14,91,90.5,19.5,16,206,186,180,21,11,4.9,28.4,15.36,23.43,23084,0,1,53,10,8,10,18
Coast Unified (San Luis Obispo),San Luis Obispo,Unified School District,No,K-12,93428,"""Cambria                       """,478,36.2,0.2,0.4,0,0.4,77.6,0,2.9,0,18.4,86.8,31.17,23,98.1,100,10.6,7,38,184,180,9,12,2.9,18.7,25.54,34.2,37367,0,1,48,10,9,7,12
Coffee Creek Elementary (Trinity),Trinity,Elementary School District,No,01-05,96091,"""Coffee Creek                  """,7,N/A,0,0,0,0,0,0,0,0,100,14.3,N/A,0,N/A,N/A,7,0,1,N/A,N/A,0,5,0,0,redacted,redacted,36643,0,2,73,1,9,2,10
Cold Spring Elementary (Santa Barbara),Santa Barbara,Elementary School District,No,K-06,93108,"""Santa Barbara                 """,188,N/A,1.1,1.1,0.5,0,5.3,0,10.1,2.7,79.3,5.9,0.53,21,N/A,N/A,13.6,2,12,186,180,2,14,0,7.1,95.28,96.23,28998,0,0,62,0,12,9,11
Colfax Elementary (Placer),Placer,Elementary School District,No,K-08,95713,"""Colfax                        """,345,0.9,0.9,0.3,0,0.6,12.5,0,7.2,0,78.6,40.6,1.74,23,N/A,N/A,19.5,0,19,N/A,N/A,0,12,10.1,21.8,28.95,30.26,18575,0,4,54,11,13,7,7
College Elementary (Santa Barbara),Santa Barbara,Elementary School District,No,K-08,93460,"""Santa Ynez                    """,364,7.7,1.6,0,0.3,0,34.1,0,4.9,20.3,38.7,31.9,11.54,42,N/A,N/A,14.3,5,21,N/A,N/A,5,10,0.8,10,40.18,61.06,36518,0,0,53,2,12,7,9
